,overall,men,women,ncgmen,ncgwomen,cgmen,cgwomen
paidvacationage25to71,0.765,0.782,0.746,0.771,0.728,0.802,0.774
paidholidaysage25to71,0.741,0.737,0.745,0.706,0.712,0.796,0.796
healthinsuranceage25to71,0.741,0.755,0.725,0.736,0.677,0.791,0.796
sicktimeage25to71,0.657,0.657,0.657,0.608,0.62,0.748,0.714
pensionage25to71,0.656,0.667,0.644,0.642,0.604,0.714,0.703
dentalage25to71,0.647,0.651,0.642,0.639,0.611,0.673,0.688
disabilityage25to71,0.621,0.628,0.614,0.592,0.581,0.693,0.664
lifeinsuranceage25to71,0.599,0.583,0.617,0.543,0.589,0.655,0.659
flexspendingage25to71,0.519,0.489,0.554,0.411,0.503,0.631,0.629
paidvacationunderage35,0.802,0.796,0.809,0.706,0.759,0.905,0.872
paidholidaysunderage35,0.784,0.78,0.788,0.702,0.693,0.874,0.907
healthinsuranceunderage35,0.8,0.82,0.771,0.785,0.671,0.862,0.89
sicktimeunderage35,0.69,0.721,0.646,0.65,0.596,0.804,0.707
pensionunderage35,0.685,0.69,0.679,0.638,0.582,0.756,0.797
dentalunderage35,0.677,0.66,0.701,0.62,0.637,0.706,0.775
disabilityunderage35,0.682,0.664,0.705,0.56,0.625,0.77,0.794
lifeinsuranceunderage35,0.593,0.547,0.659,0.433,0.557,0.679,0.781
flexspendingunderage35,0.52,0.459,0.608,0.274,0.497,0.667,0.729
paidvacationage35to49,0.801,0.826,0.772,0.822,0.745,0.837,0.82
paidholidaysage35to49,0.761,0.762,0.76,0.738,0.726,0.826,0.817
healthinsuranceage35to49,0.754,0.765,0.742,0.724,0.7,0.877,0.813
sicktimeage35to49,0.667,0.657,0.68,0.609,0.734,0.787,0.757
pensionage35to49,0.662,0.689,0.631,0.663,0.603,0.759,0.679
dentalage35to49,0.686,0.703,0.666,0.667,0.635,0.799,0.716
disabilityage35to49,0.627,0.624,0.632,0.584,0.593,0.741,0.697
lifeinsuranceage35to49,0.631,0.624,0.639,0.575,0.616,0.757,0.677
flexspendingage35to49,0.545,0.513,0.581,0.436,0.52,0.724,0.679
paidvacationoverage50,0.706,0.725,0.686,0.755,0.695,0.671,0.67
paidholidaysoverage50,0.692,0.678,0.707,0.67,0.707,0.694,0.707
healthinsuranceoverage50,0.689,0.695,0.683,0.717,0.658,0.654,0.721
sicktimeoverage50,0.625,0.61,0.642,0.581,0.618,0.663,0.679
pensionoverage50,0.631,0.627,0.636,0.62,0.617,0.641,0.665
dentaloverage50,0.591,0.593,0.588,0.621,0.576,0.542,0.607
disabilityoverage50,0.579,0.607,0.548,0.618,0.548,0.587,0.55
lifeinsuranceoverage50,0.572,0.571,0.573,0.578,0.578,0.558,0.565
flexspendingoverage50,0.494,0.488,0.502,0.465,0.488,0.528,0.522
