,overall,men,women,ncgmen,ncgwomen,cgmen,cgwomen
pctselfemployedallages,0.114,0.125,0.102,0.124,0.095,0.125,0.112
pctmultiplejobsallages,0.138,0.125,0.152,0.119,0.141,0.137,0.171
pctparttimeallages,0.187,0.129,0.256,0.128,0.303,0.13,0.183
avgweeklyhoursmainallages,39.7,41.8,37.3,41.5,36.2,42.4,38.9
avgweeklyhoursallallages,41.9,44,39.5,44,38.4,44.1,41.3
pctlonghoursallages,0.26,0.315,0.195,0.31,0.163,0.326,0.244
pctlongdaysallages,0.181,0.237,0.116,0.278,0.106,0.159,0.13
pctselfemployedunderage35,0.09,0.111,0.061,0.147,0.041,0.066,0.089
pctmultiplejobsunderage35,0.158,0.162,0.153,0.176,0.153,0.145,0.154
pctparttimeunderage35,0.131,0.067,0.222,0.061,0.281,0.073,0.143
avgweeklyhoursmainunderage35,41.5,44.3,37.7,44.3,35.6,44.3,40.3
avgweeklyhoursallunderage35,45.3,48.6,40.6,50.5,39.1,46.3,42.5
pctlonghoursunderage35,0.337,0.42,0.22,0.449,0.177,0.384,0.278
pctlongdaysunderage35,0.209,0.264,0.132,0.334,0.14,0.179,0.122
pctselfemployedage35to49,0.093,0.102,0.083,0.112,0.086,0.072,0.076
pctmultiplejobsage35to49,0.137,0.105,0.174,0.112,0.172,0.088,0.176
pctparttimeage35to49,0.185,0.125,0.253,0.137,0.291,0.094,0.187
avgweeklyhoursmainage35to49,39.8,41.3,38.1,40.9,37.8,42.3,38.6
avgweeklyhoursallage35to49,41.7,42.6,40.7,42.3,40.2,43.3,41.4
pctlonghoursage35to49,0.239,0.257,0.217,0.256,0.217,0.262,0.218
pctlongdaysage35to49,0.17,0.214,0.119,0.244,0.121,0.13,0.115
pctselfemployedoverage50,0.151,0.158,0.144,0.123,0.135,0.225,0.158
pctmultiplejobsoverage50,0.124,0.117,0.131,0.09,0.103,0.168,0.176
pctparttimeoverage50,0.229,0.181,0.279,0.161,0.327,0.216,0.205
avgweeklyhoursmainoverage50,38.4,40.4,36.2,40.4,35,40.5,38.1
avgweeklyhoursalloverage50,39.9,41.9,37.7,41.6,36,42.6,40.4
pctlonghoursoverage50,0.228,0.294,0.159,0.281,0.103,0.317,0.245
pctlongdaysoverage50,0.173,0.24,0.103,0.281,0.074,0.164,0.148
,,,,,,, 
